id,name,,type,description,categories,tags,columns,download_count,page_views_total,created_at,updated_at,url
74kb-55u9,Math Test Results 2013-2023,Math Test Results,dataset,"This report includes results for the New York State Math exams for the years 2013-2023. For the results for the New York State Math exams for the years 2006-2012, please follow <a href=""https://data.cityofnewyork.us/Education/Math-Test-Results-2006-2012/e5c5-ieuv"">this link</a>.",,,Geographic Subdivision; Pct Level 3 and 4; School Name; Num Level 1; Grade; Report Category; Pct Level 2; Pct Level 4; Year; Mean Scale Score; Num Level 4; Num Level 3 and 4; Student Category; Number Tested; Pct Level 1; Pct Level 3; Num Level 3; Num Level 2,4492,5574,2024-03-06T20:47:14.000Z,2024-11-26T23:05:38.000Z,https://data.cityofnewyork.us/d/74kb-55u9
3bkj-34v2,NYC DOE Public School Location Information,NYC DOE Public School Location Information,href,"Report of all DOE School Information including Principal and Superintendent names, Cluster, Network, SATIF, addresses & phone numbers.",,,,479,22279,2013-03-22T19:26:34.000Z,2024-11-26T23:11:38.000Z,https://data.cityofnewyork.us/d/3bkj-34v2
29nk-6u2k,NYC Public School Indicators,NYC Public School Indicators,file,"Various data tables on student demographics, school enrollment trends, characteristics of traditional public school students and charter school students, student achievement, budget and school resources, principal and teacher information, building and school utilization and the availability of specialized facilities.",,,,1659,3471,2019-08-13T16:27:47.000Z,2022-05-09T22:27:52.000Z,https://data.cityofnewyork.us/d/29nk-6u2k
n7ta-pz8k,Projected Public School Ratio,Projected Public School Ratio,dataset,Estimated number of students to be generated by future housing growth.,,,Children aged 11-13 contributed per housing unit; Data As Of; Community School District; Children aged 14-17 contributed per housing unit; Children aged 4-10 contributed per housing unit; BOROUGH,3541,2423,2013-07-02T19:04:34.000Z,2025-04-17T17:45:39.000Z,https://data.cityofnewyork.us/d/n7ta-pz8k
u6fv-5dqe,School Attendance Statistics,School Attendance Statistics,href,"Daily Attendance figures are accurate as of 4:00pm, but are not final as schools continue to submit data after we generate this preliminary report.",,,,378,8954,2013-03-22T19:49:56.000Z,2024-11-26T23:08:46.000Z,https://data.cityofnewyork.us/d/u6fv-5dqe
kkng-ugna,2019-20 School Quality Guide Early Childhood,School Quality Guide Early Childhood,dataset,"The School Quality Reports share information about school performance, set expectations for schools, and promote school improvement.   These reports include information from multiple sources, including Quality Reviews, the NYC School Survey, and student performance.  The School Quality Reports are organized around the Framework for Great Schools, which includes six elements—Rigorous Instruction,  Collaborative Teachers, Supportive Environment, Effective School Leadership, Strong FamilyCommunity Ties, and Trust—that drive student achievement and school improvement.",,,teacher_ethnicity_amerindian_pct; n_interaction_k3_all; rr_s; QR_4_1; dbn; survey_pp_TR; QR_1_3; Teacher_attendance; enrollment; Dates_of_Review; school_type; IEP; temp_housing_pct; near_pct_asian; ethnicity_pacific_pct; teacher_ethnicity_white_pct; ethnicity_pacific_pct_dist; Teach_3_more_exp; principal; val_attendance_k3_all; QR_1_4; QR_1_2; QR_4_2; val_lre_all; QR_3_1; ethnicity_white_pct_dist; teacher_ethnicity_black_pct; teacher_ethnicity_asian_pct; survey_pp_RI; n_lre_all; median_distance; rr_p; n_attendance_k3_all; val_interaction_k3_all; Principal_experience; teacher_ethnicity_hispanic_pct; ethnicity_amerindian_pct; QR_1_1; ethnicity_white_pct; rr_t; QR_5_1; cap_sc_pct; QR_2_2; ethnicity_hispanic_pct; hra_elig_pct; QR_3_4; gender_female_pct; val_chronic_absent_all; ethnicity_black_pct; eni_pct; ELL; teacher_ethnicity_pacific_pct; gender_male_pct; survey_pp_SF; school_name; ethnicity_amerindian_pct_dist; ethnicity_black_pct_dist; ethnicity_asian_pct; survey_pp_SE; ethnicity_asian_pct_dist; near_pct_white; n_chronic_absent_all; near_pct_pacific; near_pct_amerindian; survey_pp_CT; near_pct_hispanic; near_pct_black; survey_pp_ES; ethnicity_hispanic_pct_dist,1088,728,2021-03-19T16:46:56.000Z,2024-11-26T23:11:05.000Z,https://data.cityofnewyork.us/d/kkng-ugna
jtpv-nuuc,2019-20 School Quality Guide Elementary Middle School,School Quality Guide Elementary Middle School,dataset,"The School Quality Reports share information about school performance, set expectations for schools, and promote school improvement.  These reports include information from multiple sources, including Quality Reviews, the NYC School Survey, and student performance.  The School Quality Reports are organized around the Framework for Great Schools, which includes six elements—Rigorous Instruction,  Collaborative Teachers, Supportive Environment, Effective School Leadership, Strong FamilyCommunity Ties, and Trust—that drive student  achievement and school improvement.",,,n_pct_core_soc_all; n_lre_all; val_prof_pct_watn3_mthlevel34; val_chronic_absent_ems_allgm; n_pct_accel_lote_all; n_pct_accel_mth_all; n_pct_accel_try_all; n_pct_accel_p_lote_all; n_pct_accel_p_sci_all; val_ele_core_all; QR_3_1; teacher_ethnicity_white_pct; survey_pp_CT; rr_t; val_prof_2plus_watn3_mthlevel1; n_chronic_absent_ems_alleh; val_prof_pct_watn3_elalevel2; survey_pp_SE; n_hs_9gr_credits_all; n_prof_pct_watn3_elalevel34; survey_pp_TR; rating_mth_grade_5_pct_rs; gender_male_pct; ELL; IEP; cap_sc_pct; val_prof_pct_watn3_mthlevel2; val_pct_accelerated_all; n_chronic_absent_ems_all; n_prof_pct_watn3_mthlevel2; temp_housing_pct; ethnicity_asian_pct; val_pct_core_sci_all; n_pct_core_ela_all; ethnicity_hispanic_pct_dist; val_prof_pct_watn3_elalevel34; n_prof_pct_watn3_elalevel2; n_prof_2plus_watn3_mthlevel1; ethnicity_amerindian_pct_dist; Principal_experience; ethnicity_pacific_pct_dist; val_chronic_absent_ems_alleh; ethnicity_white_pct_dist; principal; Teach_3_more_exp; val_attendance_k8_all; n_prof_pct_watn5_mthlevel34; Teacher_attendance; eni_pct_k8; val_hs_9gr_credits_all; n_pct_core_mth_all; val_pct_core_mth_all; QR_1_4; n_pct_accel_p_all; val_pct_accel_try_all; n_prof_2plus_watn5_mthlevel1; n_prof_pct_watn5_elalevel2; val_chronic_absent_ems_alleb; val_pct_core_soc_all; teacher_ethnicity_amerindian_pct; teacher_ethnicity_pacific_pct; n_chronic_absent_ems_alleb; Dates_of_Review; teacher_ethnicity_asian_pct; near_pct_pacific; survey_pp_ES; val_prof_2plus_watn3_elalevel1; ethnicity_pacific_pct; QR_3_4; near_pct_amerindian; rating_ela_grade_5_pct_rs; val_prof_2plus_watn5_elalevel1; teacher_ethnicity_hispanic_pct; school_name; n_prof_pct_watn3_mthlevel34; n_chronic_absent_ems_allgm; n_pct_accel_p_mth_all; n_chronic_absent_ems_allgf; median_distance; val_pct_accel_try_lote_all; rr_s; QR_1_2; ethnicity_amerindian_pct; QR_1_1; QR_5_1; ethnicity_hispanic_pct; hra_elig_pct; gender_female_pct; val_chronic_absent_ems_allew; n_chronic_absent_ems_allew; val_lre_all; QR_4_1; val_chronic_absent_ems_allep; n_chronic_absent_ems_allem; val_prof_pct_watn5_mthlevel2; ethnicity_white_pct; val_chronic_absent_ems_allgf; ethnicity_black_pct; n_pct_core_sci_all; val_pct_accel_p_sci_all; n_pct_accelerated_all; teacher_ethnicity_black_pct; val_chronic_absent_ems_allei; val_pct_accel_lote_all; dbn; val_pct_accel_p_all; ethnicity_asian_pct_dist; ethnicity_black_pct_dist; n_ele_core_all; rr_p; n_chronic_absent_ems_allei; near_pct_asian; val_pct_accel_p_lote_all; n_interaction_k8_all; n_chronic_absent_ems_allea; val_pct_accel_try_sci_all; QR_4_2; QR_2_2; val_pct_core_ela_all; school_type; enrollment; n_chronic_absent_ems_allep; val_chronic_absent_ems_all; near_pct_black; QR_1_3; survey_pp_RI; val_prof_pct_watn5_elalevel2; val_chronic_absent_ems_allem; n_attendance_k8_all; val_chronic_absent_ems_allea; near_pct_hispanic; val_interaction_k8_all; survey_pp_SF; val_pct_accel_sci_all; n_pct_accel_try_lote_all; n_prof_pct_watn5_elalevel34; n_pct_accel_try_mth_all; val_prof_pct_watn5_elalevel34; n_prof_pct_watn5_mthlevel2; near_pct_white; val_prof_pct_watn5_mthlevel34; n_pct_accel_sci_all; n_pct_accel_try_sci_all; n_prof_2plus_watn5_elalevel1; n_prof_2plus_watn3_elalevel1; val_prof_2plus_watn5_mthlevel1,1844,1091,2021-03-23T20:20:48.000Z,2024-11-26T23:05:37.000Z,https://data.cityofnewyork.us/d/jtpv-nuuc
dnpx-dfnc,School Quality Reports Data,School Quality Reports Data,dataset,"This report shares information about school performance, sets expectations for schools, and promotes school improvement.  School Quality Reports: Educator Guides can be found here: https://infohub.nyced.org/reports/students-and-schools/school-quality/school-quality-reports-and-resources/educator-guide-to-school-quality-guide",,,"School Type; Metric Score; Report Year; School Year; District, Borough and School Number (DBN); School Name; Number of Students; Comparison Group Average; Report Type; Metric Display Name; Metric Value; Metric Variable Name",12575,10450,2024-05-16T19:23:37.000Z,2026-04-09T00:20:18.000Z,https://data.cityofnewyork.us/d/dnpx-dfnc
shkv-c3w7,School Zones Map 2024-2025,School Zones Map,map,Data is used to identify the zoning for the High School grades.,,,,12,18322,2024-03-13T14:39:42.000Z,2025-08-05T19:57:31.000Z,https://data.cityofnewyork.us/d/shkv-c3w7
cmjf-yawu,School Zones 2024-2025 (Elementary School),School Zones(Elementary School),dataset,Data is used to identify the  zoning for the Elementary School grades.,,,CREAT_DATE; BORO_NUM; the_geom; ESID_NO; Label; INITIALS; Y_Centroid; SCHOOLDIST; Shape_Leng; DBN; Shape_Area; EDIT_DATE; REMARKS; X_Centroid; ZONED_DIST; BORO,2391,10091,2024-03-13T14:33:31.000Z,2024-11-26T23:05:36.000Z,https://data.cityofnewyork.us/d/cmjf-yawu
t26j-jbq7,School Zones 2024-2025 (Middle School),School Zones(Middle School),dataset,Data is used to identify the  zoning for the Middle School grades.,,,BORO; Label; REMARKS; the_geom; INITIALS; CREAT_DATE; EDIT_DATE; Boro_Text; SCHOOLDIST; Shape_Leng; MSID_NO; DBN; Shape_Area; ZONED_DIST,1382,2819,2024-03-13T14:30:07.000Z,2024-11-26T23:12:18.000Z,https://data.cityofnewyork.us/d/t26j-jbq7
