,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6359,32,,S1,1464 86TH STREET,,11228,1,1,2,"1,600","3,040",1931,1,S1,"3,400,000",02/04/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6360,11,,A5,8669 15 AVENUE,,11228,1,0,1,"1,547","1,428",1930,1,A5,"999,000",03/30/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6363,37,,A5,8611 16 AVENUE,,11214,1,0,1,"1,893","1,714",1930,1,A5,"970,000",01/13/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6364,4,,A5,1643 BENSON AVENUE,,11214,1,0,1,"1,638","1,746",1930,1,A5,0,09/08/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6364,72,,A5,68 BAY 14TH STREET,,11214,1,0,1,"1,950",972,1950,1,A5,"860,000",11/24/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6372,39,,A9,86-29 19 AVENUE,,11214,1,0,1,"2,417","1,944",1930,1,A9,"1,180,000",11/19/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6374,67,,S1,8642 20TH AVENUE,,11214,1,1,2,"1,740","3,240",1925,1,S1,"1,100,000",09/03/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6380,16,,S1,59 BAY 29 STREET,,11214,1,1,2,"3,867","3,947",1920,1,S1,0,03/10/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6380,16,,S1,59 BAY 29 STREET,,11214,1,1,2,"3,867","3,947",1920,1,S1,"2,275,000",02/09/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6405,47,,S1,1869 BATH AVENUE,,11214,1,1,2,"1,105","1,800",1920,1,S1,0,05/15/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6409,15,,S1,8729 20 AVENUE,,11214,1,1,2,"6,767","5,824",1910,1,S1,"2,700,000",07/02/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6431,15,,A9,221 BAY 13 STREET,,11214,1,0,1,"1,530","2,484",1920,1,A9,"900,000",10/20/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6442,35,,S1,2020 BATH AVENUE,,11214,1,1,2,"1,174","1,596",1925,1,S1,0,09/10/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6447,29,,S1,2156 BATH AVENUE,,11214,1,1,2,"1,933","2,201",1920,1,S1,"1,475,000",10/06/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,61,,A9,286 BAY 10 STREET,,11228,1,0,1,"1,933","1,152",1920,1,A9,"1,220,000",09/22/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,65,,A5,298 BAY 10TH STREET,,11228,1,0,1,"1,933","1,152",1920,1,A5,"1,150,000",04/24/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,215,,A5,8872 16 AVENUE,,11214,1,0,1,"1,760",992,1950,1,A5,0,03/04/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,222,,A5,8886 16TH AVENUE,,11214,1,0,1,"1,760",992,1950,1,A5,"995,000",06/09/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,241,,A5,1594 INDEPENDENCE AVENUE,,11228,1,0,1,"1,764",992,1950,1,A5,"980,000",06/29/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,242,,A5,1592 INDEPENDENCE AVENUE,,11228,1,0,1,"1,844",992,1950,1,A5,"1,100,000",02/18/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,78,,A5,313 BAY 14 STREET,,11214,1,0,1,"1,511",992,1950,1,A5,0,04/16/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,79,,A5,311 BAY 14 STREET,,11214,1,0,1,"1,511",992,1950,1,A5,"960,000",04/27/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,83,,A5,303 BAY 14TH STREET,,11214,1,0,1,"1,511",928,1950,1,A5,"785,000",01/21/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,90,,A5,283 BAY 14TH STREET,,11214,1,0,1,"1,795","1,152",1930,1,A5,"838,000",09/18/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,124,,A5,298 BAY 14TH STREET,,11214,1,0,1,"1,555",992,1950,1,A5,"930,000",09/30/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,129,,A5,308 BAY 14 STREET,,11214,1,0,1,"1,511",992,1950,1,A5,0,04/23/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,138,,A5,326 BAY 14TH STREET,,11214,1,0,1,"1,511",992,1950,1,A5,"920,000",03/17/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,142,,A5,1171 SHORE PARKWAY,,11214,1,0,1,"1,767","1,392",1950,1,A5,0,08/27/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,207,,A5,8909 16TH AVENUE,,11214,1,0,1,"2,109","1,188",1940,1,A5,0,05/08/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,232,,A5,248 BAY 13 STREET,,11214,1,0,1,"1,648",928,1945,1,A5,"960,000",06/11/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,271,,A5,253 BAY 13 STREET,,11214,1,0,1,"1,649",928,1940,1,A5,0,07/02/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,274,,A5,259 BAY 13TH STREET,,11214,1,0,1,"1,649",928,1940,1,A5,"985,000",07/15/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,292,,A5,299 BAY 13TH STREET,,11214,1,0,1,"2,062","1,240",1940,1,A5,"999,000",12/22/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,297,,A5,309 BAY 13 STREET,,11214,1,0,1,"1,632",928,1940,1,A5,0,05/31/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,312,,A5,1155 SHORE PARKWAY,,11214,1,0,1,"1,861",928,1940,1,A5,"980,000",12/22/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6485,80,,A5,1111 SHORE PARKWAY,,11228,1,0,1,"1,961","1,224",1960,1,A5,"608,000",09/09/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,12,,B1,8651 14TH AVENUE,,11228,2,0,2,"2,320","1,620",1930,1,B1,0,04/29/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,27,,B1,8611 14TH AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,0,09/10/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,27,,B1,8611 14TH AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,0,10/08/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6358,2,,B1,81 BAY 7TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,"1,350,000",04/17/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6358,61,,B1,82 BAY 8 STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,"1,675,000",03/13/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6359,11,,B1,61 BAY 8TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,"1,522,000",02/09/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6359,33,,S2,1466 86TH STREET,,11228,2,1,3,"1,534","2,588",1931,1,S2,"3,400,000",02/04/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6359,63,,B1,8664 15 AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,"1,580,000",05/13/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6360,38,,S2,1504 86 STREET,,11228,2,1,3,"1,917","2,496",1931,1,S2,"1,100,000",03/27/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6360,59,,B3,40 BAY 10TH STREET,,11228,2,0,2,"1,547","1,428",1930,1,B3,0,04/06/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6360,76,,B1,74 BAY 10 STREET,,11228,2,0,2,"1,718","2,298",1960,1,B1,0,08/18/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6362,67,,S2,8658 16 AVENUE,,11214,2,1,3,"3,396","4,050",1926,1,S2,0,12/02/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6365,9,,B1,1655 BENSON AVENUE,,11214,2,0,2,"1,800","2,048",1910,1,B1,"500,000",02/18/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6366,4,,B1,1713 BENSON AVENUE,,11214,2,0,2,"2,558","2,208",1925,1,B1,0,10/08/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6366,28,,B1,8635 17 AVENUE,,11214,2,0,2,"1,933","3,240",1901,1,B1,0,12/12/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6366,34,,B1,8621 17 AVENUE,,11214,2,0,2,"1,813","1,840",1950,1,B1,0,07/13/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6366,67,,B3,8654 BAY 16TH STREET,,11214,2,0,2,"2,417","1,728",1925,1,B3,0,05/07/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6367,1,,B1,82 BAY 17TH STREET,,11214,2,0,2,"2,024","4,140",1950,1,B1,"1,999,000",12/10/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6367,65,,B3,44 BAY 17 STREET,,11214,2,0,2,"2,223","1,438",1899,1,B3,0,08/08/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6367,66,,B2,46 BAY 17 STREET,,11214,2,0,2,"2,610","1,656",1899,1,B2,"1,170,000",09/02/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6369,79,,B3,70 BAY 19 STREET,,11214,2,0,2,"1,025","1,248",1930,1,B3,0,02/06/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6370,64,,B2,24 BAY 20 STREET,,11214,2,0,2,"2,417","1,584",1930,1,B2,0,09/25/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6370,67,,B1,32 BAY 20TH STREET,,11214,2,0,2,"3,867","1,961",1930,1,B1,"1,600,000",01/12/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6370,86,,B3,80 BAY 20TH STREET,,11214,2,0,2,"4,850","1,748",1940,1,B3,0,10/29/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6371,73,,B3,8654 19 AVENUE,,11214,2,0,2,"3,867","5,346",1930,1,B3,0,04/03/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6374,88,,B2,8680 20TH AVENUE,,11214,2,0,2,"4,920","3,130",1930,1,B2,"1,980,000",01/14/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6376,67,,B2,62 BAY 26 STREET,,11214,2,0,2,"2,900","2,721",1910,1,B2,0,11/24/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6376,67,,B2,62 BAY 26 STREET,,11214,2,0,2,"2,900","2,721",1910,1,B2,"1,370,000",01/22/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6391,22,,B9,8731 14TH AVENUE,,11228,2,0,2,"2,127","1,771",1950,1,B9,"1,115,000",06/04/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6392,7,,B2,1431 BATH AVENUE,,11228,2,0,2,"1,933","1,840",1930,1,B2,0,01/19/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6392,16,,B3,143 BAY 7 STREET,,11228,2,0,2,"1,772","1,804",1945,1,B3,"1,150,000",01/23/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6392,68,,B2,144 BAY 8TH STREET,,11228,2,0,2,"2,900","2,340",1930,1,B2,0,06/27/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,28,,B1,117 BAY 8TH STREET,,11228,2,0,2,"2,296","2,160",1940,1,B1,0,07/08/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,40,,S2,85 BAY 8TH STREET,,11228,2,1,3,"1,933","3,740",1940,1,S2,"2,200,000",03/30/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6394,28,,B1,8715 15TH AVENUE,,11228,2,0,2,"2,336","2,160",1940,1,B1,0,05/14/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6394,51,,B3,110 BAY 10TH STREET,,11228,2,0,2,"2,707","1,736",1920,1,B3,"1,650,000",03/23/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6394,52,,B2,112 BAY 10TH STREET,,11228,2,0,2,"2,707","1,574",1920,1,B2,"1,480,000",04/29/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6395,22,,B1,131 BAY 10 STREET,,11228,2,0,2,"2,417","2,000",1935,1,B1,0,06/18/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6395,31,,B3,109 BAY 10 STREET,,11228,2,0,2,"1,933","1,496",1925,1,B3,"1,000",11/13/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6396,38,,B1,1552 BENSON AVE,,11228,2,0,2,"1,800","2,268",1930,1,B1,0,06/04/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6398,3,,S2,1643 BATH AVENUE,,11214,2,1,3,"4,167","4,000",1926,1,S2,"1,750,000",10/16/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6398,61,,B3,138 BAY 14TH STREET,,11214,2,0,2,"2,167","2,228",1930,1,B3,10,10/22/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6400,66,,B3,8688 BAY 16 STREET,,11214,2,0,2,"2,513","2,046",1910,1,B3,0,10/22/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6405,20,,B1,121 BAY 20TH STREET,,11214,2,0,2,"2,294","2,088",1920,1,B1,0,09/29/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6408,13,,B3,127 BAY 23 STREET,,11214,2,0,2,"2,034","1,420",1920,1,B3,"1,160,000",03/30/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6409,32,,B3,88 BAY 25TH STREET,,11214,2,0,2,"1,440","1,281",1915,1,B3,"900,000",06/17/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6409,37,,B3,100 BAY 25 STREET,,11214,2,0,2,"1,740","1,382",1915,1,B3,"740,000",11/19/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6411,20,,B2,125 BAY 26TH ST,,11214,2,0,2,"3,528","3,288",1930,1,B2,10,11/06/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6411,20,,B2,125 BAY 26TH STREET,,11214,2,0,2,"3,528","3,288",1930,1,B2,"1,790,000",03/19/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6413,65,,B3,140 BAY 29 STREET,,11214,2,0,2,"2,900","2,000",1925,1,B3,0,01/21/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6414,31,,B3,109 BAY 29TH ST,,11214,2,0,2,"2,417","2,464",1910,1,B3,0,11/06/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6424,31,,B9,8793 14 AVENUE,,11228,2,0,2,"2,449","1,802",1935,1,B9,0,03/09/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6424,36,,B2,8781 14 AVENUE,,11228,2,0,2,"3,867","2,448",1930,1,B2,0,09/14/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6424,56,,B2,194 BAY 7 STREET,,11228,2,0,2,"1,933","2,048",1935,1,B2,"1,100,000",06/18/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6424,59,,B2,200 BAY 7 STREET,,11228,2,0,2,"1,933","2,048",1935,1,B2,"1,475,000",07/20/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6426,22,,B2,213 BAY 8TH STREET,,11228,2,0,2,"1,933","2,048",1930,1,B2,0,05/19/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6428,53,,B3,198 BAY 11TH STREET,,11228,2,0,2,"3,867","2,237",1925,1,B3,"1,800,000",02/03/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6429,38,,S2,1558 BATH AVENUE,,11228,2,1,3,"1,600","4,400",1920,1,S2,"1,200,000",07/10/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6429,62,,B1,8816 16 AVENUE,,11214,2,0,2,"2,053","2,872",1960,1,B1,"1,625,000",09/30/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6431,12,,B3,227 BAY 13 STREET,,11214,2,0,2,"1,568","2,652",1920,1,B3,0,11/11/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6431,18,,B1,215 BAY 13 STREET,,11214,2,0,2,"1,572","3,216",1901,1,B1,0,05/08/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6431,18,,B1,215 BAY 13TH STREET,,11214,2,0,2,"1,572","3,216",1901,1,B1,0,04/28/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6432,19,,B9,209 BAY 14 STREET,,11214,2,0,2,"2,268","1,668",1950,1,B9,0,09/22/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6432,19,,B9,209 BAY 14TH STREET,,11214,2,0,2,"2,268","1,668",1950,1,B9,"1,176,000",06/22/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6434,9,,B3,1735 CROPSEY AVENUE,,11214,2,0,2,"1,478","1,604",1930,1,B3,0,11/19/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6434,9,,B3,1735 CROPSEY AVENUE,,11214,2,0,2,"1,478","1,604",1930,1,B3,0,05/15/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6439,22,,B1,8783 19TH AVENUE,,11214,2,0,2,"2,417","3,278",1950,1,B1,0,05/07/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6444,18,,B3,187 BAY 26TH STREET,,11214,2,0,2,"3,867","2,843",1899,1,B3,"1,480,000",05/11/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6445,1,,B1,2121 CROPSEY AVENUE,,11214,2,0,2,"2,925","2,406",1925,1,B1,0,12/03/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6445,34,,S2,2118 BATH AVE,,11214,2,1,3,"1,985","2,715",1910,1,S2,10,08/20/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6446,17,,B2,193 BAY 28 STREET,,11214,2,0,2,"4,350","2,360",1910,1,B2,0,12/29/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6459,21,,B9,303 BAY 8 STREET,,11228,2,0,2,"1,442","1,640",1925,1,B9,0,10/06/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6459,23,,B9,299 BAY 8TH STREET,,11228,2,0,2,"1,442","1,640",1925,1,B9,0,09/12/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6460,5,,B3,8935 15 AVENUE,,11228,2,0,2,"1,740","1,674",1960,1,B3,0,05/20/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6460,50,,B1,262 BAY 10TH STREET,,11228,2,0,2,"4,302","2,872",1965,1,B1,0,01/28/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6460,150,,B1,318 BAY 11 STREET,,11228,2,0,2,"1,885","1,729",1955,1,B1,"1,120,000",09/25/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6460,221,,B9,8884 16 AVENUE,,11214,2,0,2,"1,760",992,1950,1,B9,"1,038,880",10/24/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6460,235,,B3,8912 16 AVENUE,,11214,2,0,2,"2,200","1,240",1950,1,B3,"1,080,000",02/09/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6460,307,,B3,332 BAY 10TH STREET,,11228,2,0,2,"2,256","2,300",1950,1,B3,"1,550,000",04/29/2026
