,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12536,30,,B3,176-18 130TH AVENUE,,11434,2,0,2,"4,000","2,248",1920,1,B3,0,09/03/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12537,62,,B2,130-36 177 STREET,,11434,2,0,2,"4,000","2,500",1988,1,B2,0,12/17/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12539,15,,B3,130-12 178 STREET,,11434,2,0,2,"4,000","2,352",1925,1,B3,"1,250,000",12/23/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12544,466,,B2,131-02 178 PLACE,,11434,2,0,2,"3,100","2,016",1955,1,B2,"1,100,000",02/13/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12544,466,,B2,131-02 178TH PLACE,,11434,2,0,2,"3,100","2,016",1955,1,B2,"700,000",09/16/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12549,13,,B3,134-04 FARMERS BOULEVARD,,11434,2,0,2,"5,460","1,112",1945,1,B3,"670,000",01/14/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12570,16,,B3,134-53 175 STREET,,11434,2,0,2,"3,200","1,350",1920,1,B3,100,06/18/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12575,5,,B3,169-11 140 AVENUE,,11434,2,0,2,"4,000","1,125",1950,1,B3,"52,400",09/19/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12576,9,,B3,17001 140TH AVE,,11434,2,0,2,"4,000","1,250",1945,1,B3,"1,090,000",11/26/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12580,125,,B3,137-08 175 STREET,,11434,2,0,2,"3,777","1,673",1950,1,B3,"1,310,000",09/29/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12584,38,,B3,167-20 140 AVENUE,,11434,2,0,2,"5,023","2,992",1935,1,B3,"1,475,000",12/19/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12586,63,,B3,167-24 140 AVENUE,,11434,2,0,2,"4,907","1,470",1935,1,B3,"651,680",11/20/2025
